country_Code,Country_number,Country,Currency Name,Currency_Code,Currency_Number
AFG,4,AFGHANISTAN,Afghani,AFN,971
ALB,8,ALBANIA,Lek,ALL,8
DZA,12,ALGERIA,Algerian Dinar,DZD,12
ASM,16,AMERICAN SAMOA,US Dollar,USD,840
AND,20,ANDORRA,Euro,EUR,978
AGO,24,ANGOLA,Kwanza,AOA,973
AIA,660,ANGUILLA,East Caribbean Dollar,XCD,951
ATG,28,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951
ARG,32,ARGENTINA,Argentine Peso,ARS,32
ARM,51,ARMENIA,Armenian Dram,AMD,51
ABW,533,ARUBA,Aruban Florin,AWG,533
AUS,36,AUSTRALIA,Australian Dollar,AUD,36
AUT,40,AUSTRIA,Euro,EUR,978
AZE,31,AZERBAIJAN,Azerbaijanian Manat,AZN,944
BHS,44,BAHAMAS (THE),Bahamian Dollar,BSD,44
BHR,48,BAHRAIN,Bahraini Dinar,BHD,48
BGD,50,BANGLADESH,Taka,BDT,50
BRB,52,BARBADOS,Barbados Dollar,BBD,52
BLR,112,BELARUS,Belarussian Ruble,BYR,974
BEL,56,BELGIUM,Euro,EUR,978
BLZ,84,BELIZE,Belize Dollar,BZD,84
BEN,204,BENIN,CFA Franc BCEAO,XOF,952
BMU,60,BERMUDA,Bermudian Dollar,BMD,60
BTN,64,BHUTAN,Ngultrum,BTN,64
BTN,64,BHUTAN,Indian Rupee,INR,356
BOL,68,BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,68
BOL,68,BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,984
BES,535,BONAIRE| SINT EUSTATIUS AND SABA,US Dollar,USD,840
BIH,70,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977
BWA,72,BOTSWANA,Pula,BWP,72
BVT,74,BOUVET ISLAND,Norwegian Krone,NOK,578
BRA,76,BRAZIL,Brazilian Real,BRL,986
IOT,86,BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840
BRN,96,BRUNEI DARUSSALAM,Brunei Dollar,BND,96
BGR,100,BULGARIA,Bulgarian Lev,BGN,975
BFA,854,BURKINA FASO,CFA Franc BCEAO,XOF,952
BDI,108,BURUNDI,Burundi Franc,BIF,108
CPV,132,CABO VERDE,Cabo Verde Escudo,CVE,132
KHM,116,CAMBODIA,Riel,KHR,116
CMR,120,CAMEROON,CFA Franc BEAC,XAF,950
CAN,124,CANADA,Canadian Dollar,CAD,124
CYM,136,CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD,136
CAF,140,CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,XAF,950
TCD,148,CHAD,CFA Franc BEAC,XAF,950
CHL,152,CHILE,Unidad de Fomento,CLF,990
CHL,152,CHILE,Chilean Peso,CLP,152
CHN,156,CHINA,Yuan Renminbi,CNY,156
CXR,162,CHRISTMAS ISLAND,Australian Dollar,AUD,36
CCK,166,COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,36
COL,170,COLOMBIA,Colombian Peso,COP,170
COL,170,COLOMBIA,Unidad de Valor Real,COU,970
COM,174,COMOROS (THE),Comoro Franc,KMF,174
COD,180,CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc,CDF,976
COG,178,CONGO (THE),CFA Franc BEAC,XAF,950
COK,184,COOK ISLANDS (THE),New Zealand Dollar,NZD,554
CRI,188,COSTA RICA,Costa Rican Colon,CRC,188
HRV,191,CROATIA,Kuna,HRK,191
CUB,192,CUBA,Peso Convertible,CUC,931
CUB,192,CUBA,Cuban Peso,CUP,192
CUW,531,CURAÇAO,Netherlands Antillean Guilder,ANG,532
